file_name,time_ms,channel,cluster,peak_amplitude,waveform_length
010.csv,266862.3,56,-1,0.0272135096018685,3.5
010.csv,266862.85,56,-1,0.0283386159419974,3.5
010.csv,266863.4,56,-1,0.0214473396087077,3.5
010.csv,266863.95,56,-1,0.027916701064449,3.5
010.csv,266864.5,56,-1,0.0282682967957393,3.5
010.csv,266865.05,56,-1,0.0238381905814817,3.5
010.csv,266865.6,56,-1,0.0336828710576098,3.5
010.csv,266866.15,56,-1,0.0281979776494813,3.5
010.csv,266866.7,56,-1,0.0324874455712228,3.5
010.csv,266867.25,56,-1,0.0245413820440623,3.5
010.csv,266867.8,56,-1,0.0263696798467718,3.5
010.csv,266868.35,56,-1,0.0245413820440623,3.5
010.csv,266868.9,56,-1,0.0228537225338689,3.5
010.csv,266869.45,56,-1,0.0286902116732877,3.5
010.csv,266870.0,56,-1,0.0255258500916751,3.5
010.csv,266870.55,56,-1,0.0271431904556104,3.5
010.csv,266871.1,56,-1,0.0274947861869007,3.5
010.csv,266871.65,56,-1,0.0232053182651592,3.5
010.csv,266872.2,56,-1,0.0234162757039333,3.5
010.csv,266872.75,56,-1,0.0238381905814817,3.5
010.csv,266873.3,56,-1,0.0255961692379331,3.5
010.csv,266873.85,56,-1,0.0256664883841912,3.5
010.csv,266874.4,56,-1,0.0293934031358683,3.5
010.csv,266874.95,56,-1,0.0202519141223207,3.5
010.csv,266875.5,56,-1,0.0217286161937399,3.5
010.csv,266876.05,56,-1,0.0208847864386432,3.5
010.csv,266876.6,56,-1,0.0267915947243201,3.5
010.csv,266877.15,56,-1,0.0192674460747079,3.5
010.csv,266877.7,56,-1,0.0207441481461271,3.5
010.csv,266878.25,56,-1,0.0239788288739978,3.5
010.csv,266878.8,56,-1,0.0246117011903203,3.5
010.csv,266879.35,56,-1,0.0262290415542556,3.5
010.csv,266879.9,56,-1,0.0248929777753525,3.5
010.csv,266880.45,56,-1,0.0293230839896102,3.5
010.csv,266881.0,56,-1,0.020603509853611,3.5
010.csv,266881.55,56,-1,0.0201112758298046,3.5
010.csv,266882.1,56,-1,0.0201815949760627,3.5
010.csv,266882.65,56,-1,0.0236272331427075,3.5
010.csv,266883.2,56,-1,0.0232053182651592,3.5
010.csv,266883.75,56,-1,0.0222911693638044,3.5
010.csv,266884.3,56,-1,0.0214473396087077,3.5
010.csv,266884.85,56,-1,0.0247523394828364,3.5
010.csv,266885.4,56,-1,0.0191268077821918,3.5
010.csv,266885.95,56,-1,0.0209551055849013,3.5
010.csv,266886.5,56,-1,0.0203222332685788,3.5
010.csv,266887.05,56,-1,0.0206738289998691,3.5
010.csv,266887.6,56,-1,0.0215176587549658,3.5
010.csv,266888.2,56,-1,0.0171578716869662,3.5
010.csv,266888.95,56,-1,0.0183532971733531,3.5
010.csv,266889.55,56,-1,0.0191971269284498,3.5
010.csv,266890.1,56,-1,0.0200409566835465,3.5
010.csv,266891.7,56,-1,0.0182829780270951,3.5
010.csv,266892.25,56,-1,0.0206738289998691,3.5
010.csv,266892.95,56,-1,0.0177204248570306,3.5
010.csv,267746.1,56,-1,0.018212658880837,3.5
010.csv,266825.95,57,-1,0.0153295738842567,3.5
010.csv,266826.85,57,-1,0.0164546802243856,3.5
010.csv,266828.3,57,-1,0.0164546802243856,3.5
010.csv,266830.95,57,-1,0.0150482972992244,3.5
010.csv,266833.2,57,-1,0.0151186164454825,3.5
010.csv,266834.2,57,-1,0.016946914248192,3.5
010.csv,266835.15,57,-1,0.0159624462005792,3.5
010.csv,266835.95,57,-1,0.0153295738842567,3.5
010.csv,266836.55,57,-1,0.0152592547379986,3.5
